block_height,block_voting_power,nc_number_of_validators,nc_cumulative_validator_vp_percentage,tt_number_of_validators,tt_cumulative_validator_vp_percentage
1,25.0,9,36.0,17,68.0
6600000,140.0,10,35.7142857142857,19,67.85714285714283
13200000,151.0,11,36.42384105960265,21,69.53642384105959
20100000,3602651250.0,7,34.99086007839365,21,68.83374450968573
27200000,5167681075.0,7,34.30881219774191,19,67.28835977943938
33800000,5704473041.0,7,34.65509065940733,19,67.15920172581636
40800000,5764217026.0,8,36.965260804529606,19,67.05955378786948
47200000,5780789519.0,7,35.65957833656943,19,68.01280636628555
53200000,5850440166.0,7,35.36950245257837,19,67.89766700094134
59400000,6057142400.0,7,36.04809632674312,18,67.47601870809574
65200000,5774625910.0,7,34.130482783082996,20,67.94500527221165
71600000,5669381654.0,8,34.42146442237032,21,68.56757521796575
78000000,5934059439.0,9,34.482037297301154,21,68.00539634769909
